Z3_1	Z3_2	Z3_3
496.5501	540.1649	626.577
445.7296	488.8605	626.9016
448.1183	490.0109	627.0465
488.8582	531.1321	626.9568
446.388	493.2273	627.2524
491.7768	511.5648	627.217
435.4574	483.7609	627.3052
436.2131	468.8159	627.3052
440.7351	471.5441	627.3043
441.9843	493.897	627.306
444.5529	519.652	626.9756
453.8955	512.5199	626.5679
444.3106	492.185	627.2776
451.9639	512.1093	625.9443
507.2809	542.9066	625.6343
450.0811	489.24	627.4088
450.7069	491.0746	627.3904
488.7473	527.7793	627.4158
438.8169	480.0452	627.3724
472.4367	473.5155	627.3536
472.3948	474.4478	627.3535
438.2839	467.2744	627.3347
432.0563	462.6182	627.321
465.6758	467.7331	627.3411
450.8322	465.2746	627.327
470.6631	552.0184	627.3552
431.0872	459.7663	627.3085
429.9384	459.7385	627.301
450.9209	463.8998	627.3146
453.9574	465.2284	627.3045
437.6358	464.1566	627.2941
471.248	552.6881	627.2947
438.6302	478.7423	627.29
460.5804	553.5593	627.2924
442.4702	579.641	627.2903
441.867	574.6544	627.291
430.4207	462.3237	627.2954
444.8116	479.907	627.2995
458.0724	526.2572	627.2995
474.1857	562.1737	627.2977
436.7993	472.1229	627.3023
436.7065	467.2951	627.3032
478.5607	573.2084	627.3024
439.7386	498.9965	625.4143
436.6215	496.1537	625.3755
452.332	473.5639	627.3027
451.9929	462.5571	627.3018
451.7441	468.7325	627.3009
452.4049	473.1265	627.3002
451.0988	524.3128	627.3003
449.4702	483.5127	627.384
451.1102	484.9688	627.3763
430.5717	494.9739	625.4056
440.5391	493.8509	625.5114
447.2224	479.7815	627.4254
471.1711	485.9975	627.4186
486.9204	567.2421	627.4192
458.7623	471.9388	627.3515
446.0596	470.0166	627.3356
476.1273	518.4052	627.3575
441.8917	468.7806	627.3206
444.3636	469.9713	627.3083
441.6247	476.0732	627.2996
436.1634	477.271	627.3043
443.6062	480.0259	627.2924
446.9799	476.9926	627.291
444.0988	475.2281	627.2938
450.6694	502.3658	627.2948
450.018	533.8912	627.2979
439.3514	470.4943	627.3014
445.6011	484.062	627.3026
462.0974	474.5543	627.3027
459.3328	491.752	627.3026
461.6025	621.171	627.3024
471.2255	554.5444	627.3029
458.0619	475.6711	627.3021
457.165	475.5853	627.301
452.3558	457.4358	627.3002
469.3221	490.5793	627.4189
496.0901	578.3837	627.4121
462.2112	487.1305	627.3981
493.3963	524.4735	627.3916
476.3952	482.8326	627.3661
491.3651	527.8782	627.3738
450.0057	484.4605	627.3079
461.273	492.0018	627.2953
468.9279	489.5889	627.2343
496.2601	546.0469	627.3929
480.8123	519.415	627.243
451.1054	484.4773	627.1069
454.0984	489.9212	627.2913
453.153	533.8793	627.2967
466.2033	549.7985	627.3019
449.4657	481.0851	627.2629
484.3648	538.8	627.3555
446.4458	490.3524	627.4608
486.7495	543.3297	627.433
485.1091	518.7286	627.4557
460.5955	484.6756	627.4496
500.6815	551.9894	627.4899
499.1627	533.6047	627.4874
452.8763	483.9319	627.1683
453.3415	488.0895	627.4767
459.3006	483.6448	627.0085
484.4426	536.9554	627.126
433.5448	476.0679	627.2802
438.0793	480.5796	627.2781
432.1522	469.7757	627.283
435.311	474.422	627.2801
455.2834	477.6904	626.8044
455.3559	477.5029	627.458
476.7166	526.9459	627.454
473.4765	515.0851	627.4046
445.8407	475.4086	626.7407
463.8929	475.6743	626.8986
444.1196	475.5904	626.6483
443.6659	475.7938	626.8035
450.3391	475.3564	627.0449
447.4703	474.2333	627.1608
437.7788	476.3411	626.9589
439.2774	476.8522	627.09
476.3327	528.8622	627.0262
442.8165	472.0547	627.2458
439.7141	470.7359	627.3584
436.3542	471.3065	627.2216
440.6593	474.8056	627.3211
444.4127	472.2016	627.4194
475.344	476.896	627.4396
441.1525	476.7346	627.3888
455.9252	480.1377	627.4219
454.0813	477.0888	626.557
441.9107	477.4501	626.7109
454.3112	478.955	626.4708
454.6903	479.2338	626.6276
469.2696	480.9503	626.6142
446.0272	477.8047	626.8164
455.8722	479.5836	626.7684
447.7208	478.5024	626.8788
443.7525	499.1324	627.3566
443.6986	486.023	627.3981
451.2605	499.8285	627.3176
446.4597	487.3903	627.3765
444.0899	482.7866	627.2791
440.6988	482.1392	627.2811
447.8044	478.4412	627.2801
451.0184	480.0069	627.2816
478.9138	481.8129	626.3748
474.9151	483.1143	626.7476
485.8375	552.4143	626.5803
460.8593	488.8116	627.0571
485.8289	554.8358	626.9011
450.3021	494.0788	627.2702
446.3591	473.0496	626.3492
460.6058	474.6294	626.5663
451.7747	472.4398	626.1498
445.2359	474.8798	626.433
451.888	475.9696	626.2003
457.2513	476.8177	626.3997
481.5538	519.871	626.1943
456.6257	478.4875	626.2991
452.4189	480.9814	626.0618
472.3684	489.9635	626.5751
434.8506	480.3306	627.2852
461.0978	493.7208	627.1699
434.5068	471.5699	627.1981
474.4106	510.5802	627.2986
