Z_1	Z_2	Z_3
453.5	0	0
454.4	0	0
553.95	0	0
453.8	556.65	0
443.35	0	0
449	0	0
455.05	0	0
535.5	0	0
573.5	0	0
467.3	523.75	0
444.25	0	0
541.1	0	0
538.4	0	0
474.15	521.6	0
432.6	475.25	0
432.85	474	0
476.1	520	0
458.338	508.6576	631.5244
449.95	0	0
431.3	467	0
456.2	0	0
458.55	0	0
459.55	0	0
437.95	0	0
430.25	465.2	0
522.8	0	0
447.95	0	0
461.55	0	0
423.95	461.5	0
419.2	464.75	0
423.6	473.25	0
420.7	463.8	0
449	0	0
462.25	519.4	0
544.9	0	0
442	0	0
445.5	0	0
427	465.25	0
430.55	0	0
426.8	469.7	0
430	478.3	0
432.35	493.4	0
420.75	461	0
422.1	463.75	0
417.6	456.75	0
411.15	452.15	0
473.6	0	0
440.55	0	0
440.65	486.1	0
454	519.3	0
436.75	487.5	0
455.05	504.75	0
422.75	460.85	0
450.25	503	0
448.65	0	0
426	468	0
452.85	498.3	0
429.25	467.5	0
435.4	483.7	0
440	472.5	0
427.45	0	0
454.05	507.2	0
437.45	472.9	0
455.95	513.2	0
576	0	0
467.3	0	0
434.2	471	0
440.15	485.55	0
459.75	515.5	0
435.65	469.5	0
439.9	478.9	0
440.8	478.9	0
448	491.3	0
436.7	0	0
431.2	474.5	0
449.45	0	0
448.55	0	0
422.65	466.55	0
429.9562	473.9794	627.2936
424.8	468	0
422.4	464.9	0
444.4	484.1	0
453	0	0
458.55	0	0
539.6	0	0
417.7	450	474.9
413.8	451.25	0
429.3678	471.9259	627.303
413.5	440.7	464.6
413.45	454.7	0
446.1	489.5	0
450.5	496.3	0
417.2	450	0
424.7	473.1	0
424.9	473.1	0
446.45	0	0
439.55	0	0
544.4	0	0
433.1	472.95	0
537.95	0	0
541.5	0	0
436.15	0	0
579.75	0	0
430.2	477.2	0
424.65	460	0
427.4188	470.5767	626.0543
428.9	472.2	0
428.3	476.8	0
594.95	0	0
436.5	0	0
434.65	482.25	0
432.15	481.25	0
419.1	464.5	0
439.45	473.6	0
421.2	0	0
418.4	0	0
416.45	450.95	0
412.65	447	0
422.5	0	0
424.3	465.3	0
429.6	0	0
414.4	445.35	0
410.5	429.3	0
437.75	483	0
441.6	0	0
427.55	468.5	0
0	0	0
425.1	465	0
441.2	0	0
425.35	478	0
438	486.5	0
446.3	488.4	0
423.8	458.85	0
423.8	465	0
428.05	466.25	0
428.8	468.5	0
441.4237	467.585	626.7051
434.2	474.5	0
437.4	480.2	0
436.4	482.9	0
424.2	472	0
415.8	443.3	471.45
426.7	465.75	0
454.25	503.3	0
421.25	461	0
418.9	460.5	0
427.25	464.2	0
430.3	0	0
414.35	450.05	0
425.9	454.9	0
445.65	492.9	0
416	454	0
448.75	532.35	0
419.1	451.6	0
413	434.95	0
0	443.3	0
443.95	481.75	0
0	443	0
428.85	472.05	0
445.9	0	0
469.0678	530.991	628.277
426.3	0	0
425.4	462.65	0
424.45	0	0
598.85	0	0
435.9	0	0
418.2	456	0
437.95	476.4	0
439.9	0	0
418.95	464	0
431.1133	497.853	626.1544
451	578.85	0
430.1	465.9	0
420.6	461.5	0
424.45	459.75	0
