Well_name	X_coord	Y_coord
6104-2H	554816	5002101
6104C	555006.2	5002207.5
6105-2H	555336	5002128
6105-3H	555129	5002110
6105-4S	555196	5002275
6106	555489.2	5002221.66
6107	555740	5002221.69
6107-2H	555790	5002110
6107-3H	555665	5002118
6108	556025.2	5002204.2
6109	556271.7	5002184.21
6109-3H	556080	5002109
611	550496	5003613
611-3	550577.27	5003577.94
6110	556546	5002149.21
6111	556796.2	5002146.76
6112	557025.71	5002149.28
6113	557263	5002133
6113-4S	557206	5002189
6119	553241	5001950
6119-2H	553257	5001886
612	550740	5003614
612-3	550846	5003614
6120	553499.21	5001950
6121	553742	5001965
6121-2H	553750	5001844
6122	554245.71	5001950
6122-1	554359	5001967
6122-2H	554246	5001840
6123	554500.21	5001950
6123-1	554634	5001960
6124	554777.71	5001950
6124-2H	554735	5001863
6125	554987.75	5001950
6126	555246.71	5001950
6127	555485.21	5001950
6127-2S	555559.7	5001912
6128	555740	5001944
6129	556025.2	5001953.3
6130	556271	5001914
6131	556512.71	5001897.86
6131-1H	556580	5001968
6131-3H	556676	5001763
6131-4H	556403	5002014
6132	556762	5001889.33
6133	557025.71	5001889.49
6134	557302.77	5001883.52
6135	553741.71	5001728.99
6135-3H	553649	5001592
6136	553991.714	5001724.985
6136-3H	554081	5001590
6137	554226	5001729
6137-2H	554210	5001609
6138	554741.6	5001724.2
6139	554988	5001723
614	551813	5003736.83
614-1H	551956	5003795
614-2H	551928	5003527
614-3H	551753	5003641
6140	555245.73	5001733.88
6142	555739.51	5001731.81
6144	556236	5001684.73
6145	552026	5003390
6145-1H	552065	5003509
6146	552975	5003457
6146-1H	553031	5003597
6146-2H	553049	5003322
6146-3	553061	5003362
6146-3H	552846	5003408
6146-4H	552800	5003625
6147	552038.57	5003210.03
6148	552969.48	5003217.02
6149	552038.57	5002982.07
6149-1H	552111	5003029
615	553975.4	5003651
615-1	554136.5	5003661
615-2	553975	5003572
615-3	554126.77	5003552.57
6151	552035.39	5002732.51
6152	552969.48	5002721.72
6152-2H	553113	5002593
6152-3H	552822	5002604
6153	552156.68	5002454.38
6153-1	552268.14	5002469.26
6153-2	552156	5002342.26
6153-3	552268	5002346.07
6154	552402.42	5002457.56
6154-1	552525.5	5002451
6154-2	552402.5	5002332.5
6154-3	552525.5	5002332.5
6154-4H	552320	5002560
6155	552631.02	5002450.57
6155-1	552825	5002447
6155-2	552672.52	5002339.29
6155-3	552824.6	5002341.51
6156	552980	5002474.96
6156-1	553110.9	5002457.27
6156-2	552980	5002341.5
6156-3	553105	5002342
6157	552176	5002192.07
6157-1	552292	5002184
6157-2	552176	5002078
6157-3	552289	5002078
6157-3-2S	552319.9	5002001.7
6158	552375.12	5002180.06
6158-2	552395	5002078
6158-2-1S	552440.9	5002153.4
6159	552980	5002223.06
6159-1	553105	5002215
6159-2	552980	5002097.5
6159-3	553105	5002117.4
616	554242	5003661
616-1	554342	5003661
