K_1	K_2	K_3
794.1707	806.4091	0
1697.543	790.0192	0
0	848.7217	0
5869.977	1132.499	0
5869.977	330.9902	0
3701.958	1311.376	0
0	651.4572	0
0	437.5715	0
0	198.4706	0
2964.229	186.1743	0
1211.415	211.0361	0
989.4833	0	0
239.6855	0	0
815.2684	0	0
323.5193	462.5663	0
441.8364	719.0625	0
594.216	0	0
3915.9	0	0
576.6264	158.1788	0
213.0632	126.5858	0
2125.995	175.1336	623.8556
632.3762	0	0
655.5887	0	0
580.9425	0	0
409.1947	0	0
5916.948	96.04353	0
523.7901	0	0
245.4814	1622.234	0
809.0053	3540.173	0
946.0577	3791.523	0
1441.808	1521.735	0
370.9277	1866.502	0
923.9796	0	0
652.7751	0	0
848.1841	0	0
588.2812	424.2086	0
515.8807	1136.634	0
462.8452	328.0734	0
540.056	1953.077	0
624.0326	175.6593	0
643.7083	0	0
780.2018	0	0
513.3338	1330.123	0
1807.08	1670.911	0
784.2238	0	0
223.0132	0	0
207.9175	250.4783	0
561.0265	485.9412	0
642.2069	0	0
243.7899	0	0
667.521	1355.762	0
173.3072	73	0
6000	0	0
354.4583	0	0
4293.733	2061.842	0
1522.593	1343.619	0
3865.177	1607.6	0
2118.833	0	0
167.6029	0	0
2640.246	522	0
165.53	0	0
189.3113	0	0
118.6969	0	0
183.2087	0	0
742.8092	0	0
845.2629	0	0
176.0381	0	0
257.3027	0	0
266.3985	666.97	0
1311.854	0	0
1344.337	1068.242	0
2213.296	0	0
338.1677	123.303	0
284.7797	0	0
135.1566	143	0
359.6844	0	0
474.1215	0	0
698.6865	0	0
787.5984	0	0
1123.528	0	0
675.7264	0	0
1000	589.6937	0
1716.279	0	0
817.8268	0	0
471.9951	0	0
129.8687	0	0
1468.398	1452.857	0
224.5103	0	0
454.4267	0	0
523.787	0	0
471.5497	0	0
359.1429	0	0
1396.721	0	0
338.8914	206.213	0
853.085	0	0
242.6254	211.7905	0
1170.265	2938.667	0
329.2266	0	0
84.70722	64.75676	0
497.1406	351.3115	0
127.8346	215.65	0
219.5723	188.2913	0
